school,sex,age,Medu,Fedu,traveltime,studytime,famsup,activities,internet,famrel,goout,health,absences,G1,G2,G3,GPA
GP,F,17,4,4,1,3,yes,yes,yes,5,4,4,7,10,9,9,1.866666667
GP,F,17,4,4,2,3,yes,no,yes,4,3,4,4,14,14,14,2.8
GP,M,18,2,2,1,4,yes,yes,yes,4,5,5,2,9,8,8,1.666666667
GP,F,17,2,4,1,3,yes,no,yes,4,3,5,7,12,14,14,2.666666667
GP,F,18,3,3,1,2,no,yes,yes,5,4,4,0,7,0,0,0.466666667
GP,F,18,2,2,1,2,no,yes,yes,4,3,2,0,8,8,0,1.066666667
GP,F,18,2,2,2,4,no,yes,no,4,4,4,0,10,9,0,1.266666667
GP,F,17,3,4,1,3,no,no,yes,4,5,5,16,16,15,15,3.066666667
GP,F,19,3,1,1,3,no,no,no,5,3,5,12,14,13,13,2.666666667
GP,F,17,3,2,1,2,yes,no,yes,4,2,2,0,7,8,0,1
GP,F,18,3,3,1,4,yes,no,yes,5,3,1,7,16,15,17,3.2
GP,F,17,3,2,1,2,yes,no,yes,4,3,2,4,9,10,10,1.933333333
GP,F,19,2,1,1,3,no,yes,yes,4,4,3,4,11,12,11,2.266666667
GP,M,18,4,4,1,2,yes,yes,yes,4,3,2,0,10,10,0,1.333333333
GP,M,18,3,4,1,2,no,yes,yes,4,3,5,11,16,15,15,3.066666667
GP,F,17,2,2,1,2,yes,no,yes,3,1,4,0,9,8,0,1.133333333
GP,F,18,2,3,1,3,yes,no,yes,4,3,3,4,11,10,10,2.066666667
GP,F,18,3,2,1,3,no,no,yes,5,3,1,7,13,13,14,2.666666667
GP,M,18,4,3,1,3,no,no,yes,5,2,4,9,16,15,16,3.133333333
GP,M,18,4,3,1,3,yes,no,yes,5,5,5,0,10,10,9,1.933333333
GP,F,17,4,3,1,3,yes,yes,yes,4,3,4,0,13,15,15,2.866666667
MS,M,18,3,2,2,1,yes,no,yes,2,5,5,10,11,13,13,2.466666667
MS,M,19,1,1,3,2,no,no,yes,5,4,2,8,8,7,8,1.533333333
MS,M,17,3,3,2,2,yes,no,yes,4,4,3,2,13,13,13,2.6
MS,M,18,1,3,1,1,no,no,yes,4,3,3,7,8,7,8,1.533333333
MS,M,19,1,1,3,1,yes,no,yes,4,4,5,4,8,8,8,1.6
MS,M,17,4,3,2,2,yes,yes,yes,4,5,2,4,13,11,11,2.333333333
MS,F,18,3,3,1,2,yes,no,no,5,4,5,0,10,9,9,1.866666667
MS,F,17,4,4,2,2,yes,yes,yes,4,3,5,4,12,13,13,2.533333333
MS,F,17,3,2,2,2,no,no,no,1,3,5,2,12,12,11,2.333333333
MS,M,18,1,1,2,1,no,no,yes,3,2,3,4,10,10,10,2
MS,F,18,1,1,2,3,no,no,yes,5,2,4,0,18,16,16,3.333333333
MS,F,18,1,4,3,2,no,no,no,4,4,5,0,13,13,13,2.6
MS,M,18,1,1,2,2,no,yes,no,4,3,5,2,13,12,12,2.466666667
MS,F,18,3,3,2,2,yes,no,yes,4,2,3,0,11,11,10,2.133333333
MS,F,17,4,4,1,2,yes,yes,yes,2,4,1,0,16,15,15,3.066666667
MS,F,17,1,2,2,2,no,no,no,3,2,3,0,12,11,12,2.333333333
MS,M,18,1,3,2,2,yes,no,no,3,4,3,4,10,10,10,2
MS,M,18,4,4,2,3,no,no,yes,4,2,5,0,13,13,13,2.6
MS,F,17,1,1,3,1,yes,no,yes,5,1,1,0,7,6,0,0.866666667
MS,F,18,2,3,2,1,yes,no,yes,5,3,4,0,11,10,10,2.066666667
MS,F,18,4,4,3,2,yes,no,yes,3,2,5,10,14,12,11,2.466666667
MS,F,19,3,2,2,2,no,yes,no,3,2,3,4,7,7,9,1.533333333
MS,M,18,1,2,3,1,yes,yes,yes,4,3,3,3,14,12,12,2.533333333
MS,F,17,2,2,1,3,no,yes,no,3,3,3,8,13,11,11,2.333333333
MS,F,17,1,2,1,1,no,yes,yes,3,5,1,14,6,5,5,1.066666667
MS,F,18,4,4,2,3,no,no,yes,5,4,1,0,19,18,19,3.733333333
MS,F,18,1,1,4,3,no,no,yes,4,2,4,2,8,8,10,1.733333333
MS,F,20,4,2,2,3,yes,no,yes,5,3,3,4,15,14,15,2.933333333
MS,F,18,4,4,1,2,no,yes,yes,5,3,2,4,8,9,10,1.8
MS,F,18,3,3,1,2,no,no,yes,4,3,1,0,15,15,15,3
MS,F,17,3,1,1,2,yes,yes,yes,4,4,1,17,10,10,10,2
MS,M,18,4,4,1,2,no,yes,yes,3,4,2,4,15,14,14,2.866666667
MS,M,18,2,1,2,1,no,yes,yes,4,3,5,5,7,6,7,1.333333333
MS,M,17,2,3,2,2,no,yes,yes,4,3,3,2,11,11,10,2.133333333
MS,M,19,1,1,2,1,no,no,no,4,2,5,0,6,5,0,0.733333333
MS,M,18,4,2,2,1,no,no,no,5,3,3,14,6,5,5,1.066666667
MS,F,18,2,2,2,3,no,no,no,5,3,4,2,10,9,10,1.933333333
MS,F,18,4,4,3,1,yes,yes,yes,4,3,5,7,6,5,6,1.133333333
MS,F,19,2,3,1,3,no,yes,yes,5,2,5,0,7,5,0,0.8
MS,F,18,3,1,1,2,yes,no,yes,4,4,1,0,7,9,8,1.6
MS,F,18,1,1,2,2,no,yes,no,1,1,5,0,6,5,0,0.733333333
MS,M,20,2,2,1,2,yes,no,no,5,4,4,11,9,9,9,1.8
MS,M,17,3,1,2,1,no,no,yes,2,5,2,3,14,16,16,3.066666667
MS,M,21,1,1,1,1,no,no,no,5,3,3,3,10,8,7,1.666666667
MS,M,18,3,2,3,1,no,no,yes,4,1,5,0,11,12,10,2.2
MS,M,19,1,1,1,1,no,no,yes,3,3,5,5,8,9,9,1.733333333
